Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom
5.182,0.982,1.069,0.705,0.204
5.181,0.731,1.144,0.583,0.348
5.175,1.065,1.208,0.645,0.326
5.151,0.023,0.721,0.114,0.602
5.074,0.789,1.277,0.652,0.571
5.074,0.784,1.216,0.057,0.395
5.041,0.525,1.271,0.529,0.472
5.011,0.885,1.34,0.496,0.502
5.004,0.596,1.394,0.553,0.455
4.962,0.48,1.179,0.504,0.44
4.955,1.027,1.493,0.558,0.394
4.829,1.055,1.385,0.187,0.479
4.805,1.007,0.868,0.613,0.29
4.775,0.716,1.156,0.566,0.255
4.735,0.99,0.997,0.52,0.282
4.714,1.161,1.434,0.708,0.289
4.709,0.368,0.984,0.006,0.319
4.695,0.564,0.946,0.133,0.43
4.692,1.157,0.712,0.639,0.249
4.644,0.996,0.804,0.731,0.381
4.608,0.587,0.735,0.533,0.478
4.574,0.964,1.098,0.339,0.52
4.553,0.56,1.068,0.31,0.453
4.55,0.234,0.871,0.107,0.481
4.545,0.367,1.123,0.398,0.514
4.535,0.479,1.18,0.409,0.378
4.514,0.636,1.003,0.258,0.462
4.497,1.103,0.979,0.501,0.289
4.465,1.198,1.156,0.357,0.312
4.46,0.339,0.865,0.353,0.409
4.44,1.01,1.26,0.625,0.561
4.376,0.901,1.007,0.638,0.198
4.315,0.792,0.754,0.455,0.47
4.292,0.648,1.272,0.285,0.096
4.291,0.809,0.832,0.29,0.435
4.286,0.951,0.571,0.65,0.309
4.28,0.092,1.229,0.191,0.236
4.19,0.476,1.281,0.169,0.307
4.18,0.603,0.905,0.049,0.448
4.168,0.602,1.006,0.43,0.633
4.139,0.66,1.214,0.291,0.015
4.12,0.667,0.874,0.296,0.423
4.096,0.895,1.395,0.576,0.123
4.081,0.381,1.13,0.218,0.443
4.032,0.35,1.043,0.216,0.324
4.028,0.162,0.993,0.269,0.364
3.97,0.233,0.513,0.315,0.467
3.936,0.438,0.954,0.041,0.162
3.875,0.376,1.083,0.197,0.336
3.808,0.521,1.19,0.0,0.391
3.795,0.858,1.104,0.05,0.0
3.794,0.401,0.582,0.181,0.106
3.766,1.122,1.222,0.342,0.505
3.657,0.431,0.435,0.21,0.426
3.644,0.306,0.913,0.375,0.189
3.603,0.369,0.64,0.277,0.03
3.593,0.592,0.935,0.31,0.249
3.591,0.397,0.601,0.163,0.147
